player_key,team_key,season_key,g,gs,perce,ts_per,usg_per,ws,bpm,vorp,mp,age,salary,value,deserved_salary,salary_gap,overpaid_underpaid,fair_value
capelca01,ATL,2021,63,63,24.30,0.60,19.90,8.20,2.70,2.20,1898,26,21936446.00,3123019.23,17326620.85,-4609825.15,4609825.15,False
anderky01,MEM,2021,69,69,17.20,0.58,18.50,5.60,3.30,2.50,1887,27,11583784.00,6159185.46,20362787.09,8779003.09,-8779003.09,False
irvinky01,BRK,2021,54,54,24.40,0.61,30.40,7.40,5.50,3.60,1886,28,41097748.00,18656341.92,32859943.55,-8237804.45,8237804.45,False
simmobe01,PHI,2021,58,58,18.30,0.58,20.20,6.00,2.90,2.30,1877,24,37242235.00,6377825.02,20581426.65,-16660808.35,16660808.35,False
inglejo01,UTA,2021,67,30,15.90,0.67,16.60,7.00,3.50,2.60,1867,33,12630075.00,4743200.60,18946802.23,6316727.23,-6316727.23,False
allenja01,2TM,2021,63,45,20.10,0.66,16.60,6.40,1.10,1.40,1864,22,4764964.00,-2376351.28,11827250.34,7062286.34,-7062286.34,False
allenja01,BRK,2021,12,5,21.50,0.73,15.50,1.40,2.60,0.40,320,22,4764964.00,-4742757.31,9460844.32,4695880.32,-4695880.32,False
allenja01,CLE,2021,51,40,19.80,0.65,16.80,5.00,0.80,1.10,1544,22,4764964.00,-3343984.17,10859617.46,6094653.46,-6094653.46,False
bacondw01,ORL,2021,72,50,9.90,0.49,19.80,0.50,-5.10,-1.50,1853,25,2046005.00,-7388097.12,6815504.50,4769499.50,-4769499.50,False
collijo01,ATL,2021,63,63,20.60,0.65,22.20,6.70,2.30,2.00,1848,23,5042094.00,5393913.07,19597514.70,14555420.70,-14555420.70,False
poeltja01,SAS,2021,69,51,17.50,0.61,13.40,5.70,0.80,1.30,1845,25,9873657.00,-4509219.20,9694382.43,-179274.57,179274.57,True
greenje02,BRK,2021,68,38,13.00,0.62,15.60,4.10,-0.80,0.50,1835,34,3125642.00,-4185512.45,10018089.18,6892447.18,-6892447.18,False
batumni01,LAC,2021,67,38,12.90,0.62,11.80,5.00,2.10,1.90,1835,32,14146851.00,-1250175.11,12953426.52,-1193424.48,1193424.48,True
grantje01,DET,2021,54,54,16.90,0.56,28.50,3.20,1.10,1.40,1829,26,23216072.00,10648801.44,24852403.07,1636331.07,-1636331.07,True
georgpa01,LAC,2021,54,54,20.50,0.60,30.00,5.30,4.20,2.90,1821,30,43203114.00,16993652.64,31197254.27,-12005859.73,12005859.73,False
clarkjo01,UTA,2021,68,1,17.10,0.55,29.70,4.20,1.40,1.60,1818,28,14014951.00,12539186.22,26742787.85,12727836.85,-12727836.85,False
divindo01,MIL,2021,66,66,13.00,0.54,16.70,3.60,0.20,1.00,1814,24,3709891.00,-362152.81,13841448.82,10131557.82,-10131557.82,False
trentga02,2TM,2021,58,38,12.10,0.53,20.90,1.70,-2.30,-0.10,1802,22,2027733.00,-1661867.58,12541734.05,10514001.05,-10514001.05,False
trentga02,POR,2021,41,23,12.40,0.55,20.10,1.50,-1.90,0.00,1262,22,2027733.00,-2775496.88,11428104.75,9400371.75,-9400371.75,False
trentga02,TOR,2021,17,15,11.30,0.50,22.90,0.20,-3.10,-0.20,540,22,2027733.00,-3243145.07,10960456.56,8932723.56,-8932723.56,False
hachiru01,WAS,2021,57,57,11.40,0.55,18.10,2.10,-3.10,-0.50,1797,22,5719123.00,-5758335.66,8445265.97,2726142.97,-2726142.97,False
mccontj01,IND,2021,69,3,16.90,0.58,15.30,4.80,1.40,1.50,1796,28,4265420.00,-1113952.09,13089649.54,8824229.54,-8824229.54,False
richajo01,DAL,2021,59,56,11.90,0.54,18.40,2.40,-1.70,0.10,1790,27,13242242.00,-2540412.86,11663188.77,-1579053.23,1579053.23,True
garlada01,CLE,2021,54,50,14.20,0.55,24.90,1.20,-2.10,-0.10,1790,21,8190484.00,1322756.25,15526357.88,7335873.88,-7335873.88,False
holmeri01,SAC,2021,61,61,20.20,0.67,17.50,6.10,0.60,1.20,1782,27,6099977.00,-2923159.32,11280442.31,5180465.31,-5180465.31,False
maledth01,OKC,2021,65,49,8.20,0.49,19.40,-0.80,-5.00,-1.30,1778,19,2437382.00,-7115116.97,7088484.66,4651102.66,-4651102.66,False
leonaka01,LAC,2021,52,52,26.00,0.62,28.60,8.80,7.30,4.20,1773,29,41897515.00,20098613.21,34302214.84,-7595300.16,7595300.16,False
rubiori01,MIN,2021,68,51,13.50,0.52,16.00,3.10,-1.90,0.00,1772,30,20717754.00,-5680835.22,8522766.40,-12194987.60,12194987.60,False
mitchdo01,UTA,2021,53,53,21.30,0.57,33.50,6.20,4.30,2.80,1771,24,6331712.00,20478779.40,34682381.03,28350669.03,-28350669.03,False
kanteen01,POR,2021,72,35,22.40,0.64,17.40,7.50,0.60,1.20,1758,28,,-3533578.24,10670023.39,,,False
valanjo01,MEM,2021,62,61,24.40,0.64,22.40,7.80,3.00,2.20,1755,28,18280371.00,5446097.62,19649699.25,1369328.25,-1369328.25,True
wrighde01,2TM,2021,63,39,16.30,0.56,16.30,4.30,2.20,1.80,1748,28,10968223.00,1862624.32,16066225.95,5098002.95,-5098002.95,False
wrighde01,DET,2021,36,31,16.50,0.56,15.80,2.90,2.80,1.20,1052,28,10968223.00,1281903.63,15485505.26,4517282.26,-4517282.26,False
wrighde01,SAC,2021,27,8,15.90,0.56,17.10,1.30,1.20,0.60,696,28,10968223.00,-1563740.81,12639860.82,1671637.82,-1671637.82,True
balllo01,NOP,2021,55,55,15.20,0.55,20.50,3.20,1.70,1.60,1747,23,13410215.00,5147135.61,19350737.23,5940522.23,-5940522.23,False
halibty01,SAC,2021,58,20,16.20,0.58,18.10,3.50,1.40,1.50,1746,20,4669830.00,1511261.60,15714863.22,11045033.22,-11045033.22,False
butleji01,MIA,2021,52,52,26.50,0.61,26.60,9.30,7.70,4.30,1745,31,41897515.00,19039577.05,33243178.67,-8654336.33,8654336.33,False
bartowi01,DEN,2021,56,52,11.80,0.54,19.00,2.20,-1.90,0.10,1736,30,16724363.00,-2507290.78,11696310.85,-5028052.15,5028052.15,False
bazleda01,OKC,2021,55,55,9.70,0.49,22.10,-0.90,-4.40,-1.00,1714,20,2923835.00,-4138574.64,10065026.99,7141191.99,-7141191.99,False
murraja01,DEN,2021,48,48,18.30,0.59,24.80,4.60,2.00,1.70,1704,23,33251996.00,8169969.12,22373570.75,-10878425.25,10878425.25,False
brunsja01,DAL,2021,68,12,17.10,0.62,20.20,5.10,0.90,1.20,1697,24,2027733.00,1879543.23,16083144.86,14055411.86,-14055411.86,False
anthoca01,POR,2021,69,3,14.60,0.55,23.10,2.60,-1.10,0.40,1690,36,3125642.00,1668391.48,15871993.11,12746351.11,-12746351.11,False
townska01,MIN,2021,50,50,23.10,0.61,29.10,5.40,4.50,2.80,1689,25,35912155.00,15273694.21,29477295.84,-6434859.16,6434859.16,False
oubreke01,GSW,2021,55,50,13.30,0.53,22.10,2.20,-1.90,0.00,1687,25,,-286129.20,13917472.43,,,False
millspa02,SAS,2021,68,1,11.80,0.57,18.40,2.20,-1.20,0.40,1685,32,,-1946414.54,12257187.09,,,False
grahade01,CHO,2021,55,44,14.60,0.55,21.40,3.40,0.70,1.10,1659,25,,4001737.84,18205339.47,,,False
youngth01,CHI,2021,68,23,20.30,0.58,22.30,5.10,3.30,2.20,1652,32,16507175.00,7829928.39,22033530.01,5526355.01,-5526355.01,False
nunnke01,MIA,2021,56,44,14.20,0.60,20.90,2.90,-0.50,0.60,1650,25,2027733.00,618089.12,14821690.75,12793957.75,-12793957.75,False
crowdja01,PHO,2021,60,42,11.80,0.57,15.70,3.30,1.10,1.30,1648,30,11282645.00,579551.40,14783153.03,3500508.03,-3500508.03,False
curryse01,PHI,2021,57,57,12.90,0.61,17.10,4.00,-0.30,0.70,1638,30,9547776.00,-1842581.99,12361019.64,2813243.64,-2813243.64,False
herroty01,MIA,2021,54,15,13.30,0.54,23.50,1.70,-1.30,0.30,1635,21,4658131.00,2010094.18,16213695.81,11555564.81,-11555564.81,False
mcderdo01,IND,2021,66,29,15.60,0.64,20.00,3.80,-0.60,0.60,1619,29,8937070.00,-1361516.78,12842084.85,3905014.85,-3905014.85,False
zubaciv01,LAC,2021,72,33,19.10,0.69,15.10,6.90,1.00,1.20,1609,23,8530840.00,-4155225.19,10048376.44,1517536.44,-1517536.44,False
hardeja01,2TM,2021,44,43,24.50,0.62,28.40,7.00,7.20,3.70,1609,31,50277018.00,19900336.87,34103938.50,-16173079.50,16173079.50,False
hardeja01,HOU,2021,8,8,22.40,0.61,28.70,1.00,4.80,0.50,290,31,50277018.00,13036669.98,27240271.61,-23036746.39,23036746.39,False
hardeja01,BRK,2021,36,35,25.00,0.62,28.40,6.00,7.70,3.20,1319,31,50277018.00,20159657.54,34363259.17,-15913758.83,15913758.83,False
adamsst01,NOP,2021,58,58,15.10,0.60,11.70,4.00,-0.30,0.70,1605,27,36064364.00,-7887877.42,6315724.20,-29748639.80,29748639.80,False
lowryky01,TOR,2021,46,46,16.50,0.59,21.40,4.10,1.60,1.50,1601,34,37170089.00,4692948.07,18896549.70,-18273539.30,18273539.30,False
theisda01,2TM,2021,65,51,15.00,0.61,15.60,4.30,0.00,0.80,1601,28,6093457.00,-3609140.91,10594460.72,4501003.72,-4501003.72,False
theisda01,BOS,2021,42,37,15.00,0.62,15.00,2.90,0.40,0.60,1027,28,6093457.00,-4624028.86,9579572.77,3486115.77,-3486115.77,False
theisda01,CHI,2021,23,14,14.90,0.58,16.80,1.40,-0.70,0.20,574,28,6093457.00,-5908069.27,8295532.36,2202075.36,-2202075.36,False
mccolcj01,POR,2021,47,47,20.80,0.58,27.10,4.70,3.90,2.40,1600,29,35773654.00,13251605.38,27455207.00,-8318447.00,8318447.00,False
embiijo01,PHI,2021,51,51,30.30,0.64,35.30,8.80,7.50,3.80,1585,26,36002595.00,24417689.43,38621291.06,2618696.06,-2618696.06,True
smartma01,BOS,2021,48,45,13.80,0.54,18.40,3.30,-0.30,0.70,1581,26,15777701.00,-624848.49,13578753.14,-2198947.86,2198947.86,False
harremo01,LAL,2021,69,1,22.70,0.65,21.70,7.30,3.00,2.00,1580,27,11282645.00,5095059.69,19298661.32,8016016.32,-8016016.32,False
connapa01,MIL,2021,69,4,11.30,0.58,11.60,3.50,0.00,0.80,1575,28,6018231.00,-5526152.53,8677449.10,2659218.10,-2659218.10,False
jacksjo02,DET,2021,62,25,12.00,0.52,26.50,0.10,-3.00,-0.40,1560,23,5809502.00,1612453.32,15816054.95,10006552.95,-10006552.95,False
noelne01,NYK,2021,64,41,14.80,0.64,9.20,5.20,1.40,1.30,1547,26,6093457.00,-6695675.07,7507926.56,1414469.56,-1414469.56,False
jacksre01,LAC,2021,67,43,14.20,0.58,19.90,3.70,0.40,0.90,1544,30,2841492.00,1777289.29,15980890.92,13139398.92,-13139398.92,False
dortlu01,OKC,2021,52,52,10.10,0.51,21.70,0.30,-3.50,-0.60,1543,21,1849950.00,-3048302.83,11155298.79,9305348.79,-9305348.79,False
birchkh01,2TM,2021,67,22,15.10,0.55,13.60,3.80,-1.00,0.40,1529,28,3670087.00,-7365708.05,6837893.58,3167806.58,-3167806.58,False
birchkh01,ORL,2021,48,5,14.10,0.52,12.20,2.10,-1.60,0.10,952,28,3670087.00,-10439328.32,3764273.31,94186.31,-94186.31,True
birchkh01,TOR,2021,19,17,16.90,0.60,15.80,1.70,0.10,0.30,577,28,3670087.00,-6081477.22,8122124.41,4452037.41,-4452037.41,False
templga01,CHI,2021,56,25,8.20,0.53,13.10,1.60,-3.00,-0.40,1528,34,5809502.00,-9061024.91,5142576.72,-666925.28,666925.28,True
walkelo01,SAS,2021,60,38,9.80,0.52,20.10,0.40,-3.70,-0.70,1522,22,,-4949984.60,9253617.03,,,False
banede01,MEM,2021,68,17,12.20,0.60,16.10,2.90,-0.80,0.50,1519,22,2359922.00,-3858746.38,10344855.25,7984933.25,-7984933.25,False
hillso01,ATL,2021,71,16,6.70,0.50,10.40,1.30,-2.50,-0.20,1513,29,2649822.00,-9638654.12,4564947.51,1915125.51,-1915125.51,False
mcdanja02,MIN,2021,63,27,8.90,0.55,12.00,1.40,-3.50,-0.60,1511,20,2394436.00,-11814862.26,2388739.37,-5696.63,5696.63,True
osmande01,CLE,2021,59,26,10.30,0.49,20.40,0.50,-3.20,-0.50,1510,25,10773939.00,-3498244.19,10705357.44,-68581.56,68581.56,True
jamesle01,LAL,2021,45,45,24.20,0.60,31.90,5.60,8.10,3.80,1504,36,47796549.00,25028076.12,39231677.75,-8564871.25,8564871.25,False
morrima03,LAC,2021,57,29,14.50,0.61,20.10,3.60,0.00,0.80,1502,31,18138663.00,510658.55,14714260.18,-3424402.82,3424402.82,False
plumlma01,DET,2021,56,56,18.70,0.64,16.30,5.10,2.20,1.60,1499,30,9749531.00,-225354.26,13978247.37,4228716.37,-4228716.37,False
conlemi01,UTA,2021,51,51,19.20,0.59,23.10,6.10,4.90,2.60,1498,33,42047453.00,12388041.79,26591643.42,-15455809.58,15455809.58,False
haywago01,CHO,2021,44,44,17.60,0.58,23.90,3.50,1.60,1.40,1496,30,34732706.00,6339801.82,20543403.45,-14189302.55,14189302.55,False
leverca01,2TM,2021,47,39,17.80,0.53,28.70,2.40,0.40,0.90,1486,26,19747315.00,8448865.31,22652466.94,2905151.94,-2905151.94,True
leverca01,BRK,2021,12,4,19.10,0.52,31.50,0.60,1.50,0.30,334,26,19747315.00,10856365.91,25059967.54,5312652.54,-5312652.54,False
leverca01,IND,2021,35,35,17.40,0.54,27.90,1.80,0.00,0.60,1152,26,19747315.00,6334569.14,20538170.77,790855.77,-790855.77,True
paytoel01,NYK,2021,63,63,11.70,0.48,23.20,1.00,-3.00,-0.40,1484,26,5809502.00,-959797.11,13243804.52,7434302.52,-7434302.52,False
ballla01,CHO,2021,51,31,17.50,0.54,26.10,2.80,1.80,1.40,1469,19,9554492.00,9145590.73,23349192.36,13794700.36,-13794700.36,False
bertada01,WAS,2021,57,7,11.40,0.62,15.90,3.10,-0.80,0.40,1464,28,18280371.00,-3905764.74,10297836.88,-7982534.12,7982534.12,False
miltosh01,PHI,2021,63,4,14.60,0.55,24.90,2.80,-1.60,0.10,1461,24,2073716.00,1919625.36,16123226.99,14049510.99,-14049510.99,False
stewais01,DET,2021,68,14,16.40,0.60,15.50,4.00,-1.10,0.30,1455,19,3803633.00,-6909874.40,7293727.23,3490094.23,-3490094.23,False
turnemy01,IND,2021,47,47,15.30,0.60,16.40,3.30,0.40,0.90,1455,24,21936446.00,-2453666.65,11749934.98,-10186511.02,10186511.02,False
bouchch01,TOR,2021,60,14,21.90,0.63,20.50,6.10,3.30,2.00,1453,28,7921494.00,4732911.50,18936513.13,11015019.13,-11015019.13,False
brownbr01,BRK,2021,65,37,16.10,0.60,15.90,4.40,-0.10,0.70,1451,24,2027733.00,-4238615.27,9964986.36,7937253.36,-7937253.36,False
josepco01,2TM,2021,63,13,12.50,0.56,16.30,2.10,-1.80,0.10,1446,29,15355512.00,-5820239.74,8383361.89,-6972150.11,6972150.11,False
josepco01,SAC,2021,44,2,9.90,0.53,14.30,0.70,-3.30,-0.30,944,29,15355512.00,-10627197.18,3576404.45,-11779107.55,11779107.55,False
josepco01,DET,2021,19,11,17.30,0.59,19.90,1.40,0.90,0.40,502,29,15355512.00,-772214.44,13431387.19,-1924124.81,1924124.81,True
johnsca02,PHO,2021,60,11,11.80,0.56,17.00,2.60,-0.20,0.70,1437,24,5161353.00,-1371755.93,12831845.70,7670492.70,-7670492.70,False
anunoog01,TOR,2021,43,43,15.40,0.60,19.30,3.10,1.20,1.20,1433,23,4719035.00,1821625.24,16025226.87,11306191.87,-11306191.87,False
willike04,OKC,2021,66,13,14.00,0.60,15.30,2.80,-0.70,0.40,1426,26,2437382.00,-5381484.77,8822116.85,6384734.85,-6384734.85,False
