player_key,team_key,season_key,pos,g,gs,perce,ts_per,usg_per,ws,bpm,vorp,mp,age,salary
mykhasv01,2TM,2021,SF,66,14,10.40,0.529,20.00,0.30,-2.60,-0.20,1324,23,
mykhasv01,DET,2021,SF,36,5,10.20,0.527,19.00,0.30,-1.80,0.00,634,23,
mykhasv01,OKC,2021,SF,30,9,10.60,0.531,21.00,-0.10,-3.30,-0.20,690,23,
jonesde02,POR,2021,SF,58,43,11.90,0.576,12.30,2.40,-1.40,0.20,1318,23,
markkla01,CHI,2021,PF,51,26,15.20,0.619,20.20,3.00,0.10,0.70,1317,23,8203631.00
satorto01,CHI,2021,SG,58,18,13.80,0.614,15.20,3.10,-0.50,0.50,1307,29,12186914.00
bogdabo01,ATL,2021,SG,44,27,17.60,0.616,21.30,3.90,3.60,1.80,1305,28,21936446.00
hortota01,LAL,2021,SG,65,4,12.90,0.536,21.70,2.10,-1.20,0.30,1304,20,1849950.00
thybuma01,PHI,2021,SG,65,8,10.10,0.508,9.40,2.80,1.90,1.30,1298,23,3304213.00
walljo01,HOU,2021,PG,40,40,15.40,0.503,31.70,-0.20,-0.70,0.40,1288,30,50277018.00
thomptr01,BOS,2021,C,54,43,14.20,0.540,14.80,2.90,-2.50,-0.20,1287,29,11282645.00
rosede01,2TM,2021,PG,50,3,18.30,0.550,25.80,3.10,1.90,1.30,1279,32,9363116.00
rosede01,DET,2021,PG,15,0,17.10,0.517,30.00,0.40,0.60,0.20,342,32,9363116.00
rosede01,NYK,2021,PG,35,3,18.80,0.565,24.30,2.80,2.40,1.00,937,32,9363116.00
anthoco01,ORL,2021,PG,47,34,12.10,0.496,24.30,0.00,-3.30,-0.40,1273,20,4003547.00
pritcpa01,BOS,2021,SG,66,4,12.40,0.582,16.70,2.50,-0.70,0.40,1268,23,2481012.00
mannte01,LAC,2021,SG,67,10,13.80,0.603,15.10,3.70,-0.20,0.60,1263,24,1849950.00
allengr01,MEM,2021,SG,50,38,12.80,0.586,16.80,2.70,-0.20,0.60,1259,25,3101959.00
fournev01,2TM,2021,SF,42,36,16.70,0.598,23.10,2.80,1.10,1.00,1259,28,20900558.00
fournev01,ORL,2021,SF,26,26,18.20,0.604,26.20,1.70,1.70,0.70,787,28,20900558.00
fournev01,BOS,2021,SF,16,10,14.10,0.584,18.00,1.10,0.30,0.30,472,28,20900558.00
avdijde01,WAS,2021,SF,54,32,7.60,0.515,12.00,1.20,-3.10,-0.40,1257,20,5446527.00
burksal01,NYK,2021,SG,49,5,14.80,0.564,21.30,3.30,1.50,1.10,1255,29,7312148.00
jordade01,BRK,2021,C,57,43,17.10,0.736,13.10,3.90,1.00,0.90,1246,32,12644750.00
quickim01,NYK,2021,PG,64,3,15.80,0.557,25.60,3.20,0.90,0.90,1243,21,2565979.00
drumman01,2TM,2021,C,46,46,19.40,0.519,27.60,2.00,-1.20,0.30,1242,27,35039540.00
drumman01,CLE,2021,C,25,25,20.50,0.500,31.30,0.60,-0.80,0.20,722,27,35039540.00
drumman01,LAL,2021,C,21,21,17.90,0.554,22.40,1.40,-1.70,0.00,520,27,35039540.00
kennalu01,LAC,2021,SG,63,17,12.70,0.608,17.10,2.70,-0.20,0.60,1232,24,6427166.00
brownst02,HOU,2021,SG,51,14,11.10,0.597,13.50,1.80,-1.60,0.10,1229,25,2046005.00
diallha01,2TM,2021,SF,52,9,14.30,0.541,22.20,1.60,-2.10,0.00,1226,22,2027733.00
diallha01,OKC,2021,SG,32,5,15.00,0.536,22.50,1.00,-1.50,0.10,761,22,2027733.00
diallha01,DET,2021,SF,20,4,13.10,0.549,21.60,0.60,-3.20,-0.10,465,22,2027733.00
jonesty01,MEM,2021,PG,70,9,15.00,0.511,16.60,2.80,0.80,0.90,1222,24,10745376.00
gallida01,ATL,2021,PF,51,4,16.30,0.613,21.20,3.70,1.10,1.00,1222,32,23764483.00
carusal01,LAL,2021,PG,58,6,11.10,0.547,14.80,2.40,0.00,0.60,1216,26,3351401.00
beaslma01,MIN,2021,SG,37,36,14.60,0.570,24.00,1.30,-0.20,0.60,1214,24,16362023.00
wadede01,CLE,2021,PF,63,19,11.30,0.573,12.90,2.00,-1.30,0.20,1212,24,1849950.00
morrima02,LAL,2021,PF,61,27,9.30,0.509,16.40,1.60,-2.60,-0.20,1200,31,2841492.00
okogijo01,MIN,2021,SG,59,37,9.10,0.524,12.10,1.30,-3.30,-0.40,1197,22,3230799.00
howardw01,PHI,2021,C,69,6,17.80,0.610,18.20,4.00,-1.50,0.10,1196,35,3125642.00
morrimo01,DEN,2021,PG,47,13,14.00,0.574,16.50,2.90,-0.30,0.50,1196,25,2100666.00
russeda01,MIN,2021,PG,42,26,17.60,0.555,29.10,1.60,1.60,1.10,1196,24,34914596.00
griffbl01,2TM,2021,PF,46,30,12.90,0.546,19.30,2.00,-0.80,0.30,1186,31,41313933.00
griffbl01,DET,2021,PF,20,20,9.80,0.491,19.60,0.30,-2.20,-0.10,626,31,41313933.00
griffbl01,BRK,2021,PF,26,10,16.30,0.610,18.90,1.70,0.80,0.40,560,31,41313933.00
gilgesh01,OKC,2021,SG,35,35,21.60,0.623,27.80,3.50,4.10,1.80,1180,22,5046991.00
